                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3815,                0.53846,                      1,                 1.3012,             0.00019992,             0.00019992,             0.00019992
                      2,                0.96366,                0.69231,                      1,                 1.1512,             0.00036669,             0.00036669,             0.00036669
                      3,                0.63379,                0.82906,                      1,                  1.009,             0.00049246,             0.00049246,             0.00049246
                      4,                0.45799,                0.90598,                      1,                0.91629,             0.00050194,             0.00050194,             0.00050194
                      5,                0.31769,                0.92308,                      1,                0.85988,             0.00050194,             0.00050194,             0.00050194
                      6,                0.27359,                0.94872,                      1,                0.83557,             0.00043126,             0.00043126,             0.00043126
                      7,                0.23997,                0.94017,                      1,                0.83171,             0.00036057,             0.00036057,             0.00036057
                      8,                0.19848,                0.95726,                      1,                0.81592,             0.00028988,             0.00028988,             0.00028988
                      9,                0.17052,                0.95726,                      1,                0.82291,              0.0002192,              0.0002192,              0.0002192
                     10,                0.16654,                0.94872,                      1,                0.81549,             0.00014851,             0.00014851,             0.00014851
